date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2026-01-18,1,04:00,up,5,7.55,4.06,4.33,4.70,6.04,6.95,25.0
2026-01-18,2,08:00,up,5,12.28,2.74,5.66,6.23,9.09,11.00,15.0
2026-01-18,3,12:00,up,4,10.31,2.26,4.45,6.00,7.33,9.12,20.0
2026-01-18,4,16:00,up,2,14.37,13.01,13.24,13.61,13.99,14.22,13.0
2026-01-18,5,20:00,up,5,4.14,1.66,2.95,3.00,3.06,3.71,15.0
2026-01-19,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,76.0
2026-01-19,0,00:00,up,46,17.26,9.70,10.29,10.75,11.04,11.53,382.0
2026-01-19,1,04:00,up,2,6.13,1.24,2.06,3.42,4.77,5.59,7.0
2026-01-19,2,08:00,up,1,15.95,15.95,15.95,15.95,15.95,15.95,4.0
2026-01-19,3,12:00,up,3,8.30,1.83,3.38,5.95,7.12,7.83,12.0
2026-01-19,4,16:00,up,2,19.95,2.71,5.59,10.38,15.16,18.04,7.0
2026-01-19,5,20:00,up,3,3.48,1.31,2.08,3.35,3.42,3.45,14.0
2026-01-20,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,74.0
2026-01-20,0,00:00,up,41,14.05,10.69,11.35,12.65,13.64,13.95,364.0
2026-01-21,0,00:00,down,10,0.01,0.01,0.01,0.01,0.01,0.01,79.0
2026-01-21,0,00:00,up,48,14.80,11.70,12.63,13.24,13.66,14.22,391.0
2026-01-21,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,1.0
2026-01-21,3,12:00,up,2,5.78,5.11,5.22,5.41,5.59,5.71,2.0
2026-01-21,4,16:00,up,2,24.32,3.15,6.68,12.56,18.44,21.97,6.0
2026-01-21,5,20:00,up,2,3.25,1.05,1.41,2.03,2.64,3.00,6.0
2026-01-22,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,74.0
2026-01-22,0,00:00,up,39,13.73,11.95,12.60,13.27,13.54,13.67,359.0
2026-01-22,1,04:00,up,1,9.83,9.83,9.83,9.83,9.83,9.83,8.0
2026-01-22,3,12:00,up,3,8.50,1.57,2.87,5.03,6.77,7.81,9.0
2026-01-22,4,16:00,up,3,26.56,4.62,10.51,20.32,23.44,25.31,11.0
2026-01-22,5,20:00,up,4,3.24,0.70,0.77,1.71,2.78,3.05,7.0
2026-01-23,0,00:00,down,9,0.01,0.01,0.01,0.01,0.01,0.01,80.0
2026-01-23,0,00:00,up,40,13.16,2.02,11.89,12.34,12.60,12.91,317.0
2026-01-23,1,04:00,up,5,10.40,7.96,8.00,8.98,9.50,10.04,19.0
2026-01-23,2,08:00,up,3,17.72,10.39,10.97,11.95,14.83,16.57,22.0
2026-01-23,3,12:00,up,4,8.20,2.30,4.71,6.10,6.66,7.58,15.0
2026-01-23,4,16:00,up,4,20.10,3.49,7.68,12.62,16.46,18.65,18.0
2026-01-23,5,20:00,up,4,3.68,1.35,2.17,3.08,3.58,3.64,30.0
2026-01-24,0,00:00,down,10,0.01,0.01,0.01,0.01,0.01,0.01,74.0
2026-01-24,0,00:00,up,43,11.90,10.39,10.85,11.35,11.75,11.88,349.0
2026-01-24,1,04:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,2.0
2026-01-24,1,04:00,up,3,5.75,1.36,2.35,4.00,4.88,5.40,18.0
2026-01-24,2,08:00,up,2,8.20,1.45,2.57,4.45,6.32,7.45,5.0
2026-01-24,3,12:00,up,3,4.75,0.62,0.65,0.70,2.72,3.94,18.0
2026-01-24,4,16:00,down,2,0.01,0.01,0.01,0.01,0.01,0.01,2.0
2026-01-24,4,16:00,up,2,12.78,5.78,6.95,8.89,10.83,12.00,5.0
2026-01-24,5,20:00,up,3,3.10,1.16,1.69,2.59,2.84,3.00,5.0
2026-01-25,0,00:00,down,9,0.01,0.01,0.01,0.01,0.01,0.01,78.0
2026-01-25,0,00:00,up,47,10.80,9.64,9.96,10.18,10.55,10.77,365.0
2026-01-25,1,04:00,up,2,5.00,1.13,1.77,2.85,3.92,4.57,2.0
2026-01-25,2,08:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,3.0
2026-01-25,3,12:00,up,2,6.00,1.14,1.95,3.30,4.65,5.46,2.0
2026-01-25,5,20:00,up,2,3.01,1.02,1.35,1.91,2.46,2.79,10.0
2026-01-26,0,00:00,down,8,0.01,0.01,0.01,0.01,0.01,0.01,82.0
2026-01-26,0,00:00,up,42,14.00,10.23,10.43,11.04,12.87,13.85,394.0
2026-01-26,2,08:00,up,1,11.17,11.17,11.17,11.17,11.17,11.17,1.0
2026-01-26,3,12:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,3.0
2026-01-26,4,16:00,up,2,26.02,3.32,7.10,13.41,19.71,23.50,7.0
2026-01-26,5,20:00,up,2,0.80,0.62,0.65,0.70,0.75,0.78,4.0
2026-01-27,0,00:00,down,10,0.01,0.01,0.01,0.01,0.01,0.01,67.0
2026-01-27,0,00:00,up,44,19.75,11.92,12.50,12.91,13.46,14.14,353.0
2026-01-27,1,04:00,up,2,10.68,6.47,7.17,8.34,9.51,10.21,3.0
2026-01-27,2,08:00,up,1,11.14,11.14,11.14,11.14,11.14,11.14,1.0
2026-01-27,3,12:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,2.0
2026-01-27,4,16:00,up,1,11.62,11.62,11.62,11.62,11.62,11.62,2.0
2026-01-27,5,20:00,up,2,2.33,0.95,1.18,1.56,1.95,2.18,4.0
2026-01-28,0,00:00,down,10,0.01,0.01,0.01,0.01,0.01,0.01,67.0
2026-01-28,0,00:00,up,43,15.85,12.80,13.27,13.67,13.98,15.19,355.0
2026-01-28,2,08:00,up,1,11.50,11.50,11.50,11.50,11.50,11.50,1.0
2026-01-28,5,20:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,1.0
2026-01-29,0,00:00,down,9,0.01,0.01,0.01,0.01,0.01,0.01,75.0
2026-01-29,0,00:00,up,39,14.67,12.09,13.22,13.84,14.15,14.31,337.0
2026-01-29,1,04:00,up,4,12.96,3.28,7.15,10.85,12.53,12.79,10.0
2026-01-29,2,08:00,up,2,26.62,13.16,15.41,19.14,22.88,25.12,7.0
2026-01-29,3,12:00,up,3,6.84,1.82,3.34,5.88,6.36,6.65,10.0
2026-01-29,4,16:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,2.0
2026-01-29,5,20:00,up,5,4.02,1.66,2.95,3.21,3.58,3.84,13.0
2026-01-30,0,00:00,down,9,0.01,0.01,0.01,0.01,0.01,0.01,68.0
2026-01-30,0,00:00,up,41,13.50,11.48,12.37,12.70,13.00,13.30,313.0
2026-01-30,1,04:00,up,3,8.78,2.29,4.67,8.65,8.71,8.75,12.0
2026-01-30,2,08:00,up,3,17.08,12.43,13.39,15.00,16.04,16.66,8.0
2026-01-30,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,3.0
2026-01-30,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,1.0
2026-01-30,5,20:00,up,4,3.98,1.37,2.23,3.21,3.79,3.90,10.0
2026-01-31,0,00:00,down,9,0.01,0.01,0.01,0.01,0.01,0.01,78.0
2026-01-31,0,00:00,up,42,11.90,10.87,11.00,11.25,11.63,11.85,311.0
2026-01-31,1,04:00,up,2,5.92,1.22,2.00,3.31,4.62,5.40,8.0
2026-01-31,2,08:00,up,1,9.88,9.88,9.88,9.88,9.88,9.88,8.0
2026-01-31,3,12:00,up,2,3.95,1.02,1.51,2.33,3.14,3.62,11.0
2026-01-31,4,16:00,up,2,10.00,1.63,3.03,5.35,7.68,9.07,7.0
2026-01-31,5,20:00,up,3,4.42,3.36,3.42,3.54,3.98,4.24,7.0
2026-02-01,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,69.0
2026-02-01,0,00:00,up,44,10.68,9.75,9.93,10.16,10.40,10.58,352.0
2026-02-01,1,04:00,up,2,4.37,1.07,1.62,2.54,3.45,4.00,7.0
2026-02-01,2,08:00,up,1,9.08,9.08,9.08,9.08,9.08,9.08,3.0
2026-02-01,3,12:00,up,3,2.29,0.66,0.68,0.70,1.50,1.97,11.0
2026-02-01,4,16:00,up,2,10.00,9.88,9.90,9.93,9.97,9.99,10.0
2026-02-01,5,20:00,up,3,3.66,2.80,2.85,2.95,3.31,3.52,9.0
2026-02-02,0,00:00,down,7,0.01,0.01,0.01,0.01,0.01,0.01,69.0
2026-02-02,0,00:00,up,41,12.00,10.00,10.15,10.51,10.90,11.10,352.0
2026-02-02,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,1.0
2026-02-02,2,08:00,up,1,14.63,14.63,14.63,14.63,14.63,14.63,1.0
2026-02-02,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,5.0
2026-02-02,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-02-03,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,68.0
2026-02-03,0,00:00,up,32,11.07,10.01,10.46,10.75,10.90,10.98,310.0
2026-02-03,1,04:00,up,3,10.00,2.29,4.52,8.23,9.12,9.65,4.0
2026-02-03,2,08:00,up,1,8.73,8.73,8.73,8.73,8.73,8.73,1.0
2026-02-03,3,12:00,up,2,6.22,1.25,2.08,3.46,4.84,5.67,5.0
2026-02-03,5,20:00,up,1,2.64,2.64,2.64,2.64,2.64,2.64,1.0
2026-02-04,0,00:00,down,7,0.01,0.01,0.01,0.01,0.01,0.01,66.0
2026-02-04,0,00:00,up,36,10.67,9.57,10.04,10.25,10.30,10.52,339.0
2026-02-04,1,04:00,up,4,6.80,2.06,3.95,5.69,6.48,6.67,16.0
2026-02-04,2,08:00,up,3,10.44,2.54,5.14,9.48,9.96,10.25,11.0
2026-02-04,3,12:00,up,3,8.08,1.76,3.35,6.00,7.04,7.66,6.0
2026-02-04,4,16:00,up,3,10.05,7.50,8.24,9.48,9.77,9.94,11.0
2026-02-04,5,20:00,up,4,4.10,1.25,2.09,3.05,3.69,3.94,11.0
2026-02-05,0,00:00,down,7,0.01,0.01,0.01,0.01,0.01,0.01,61.0
2026-02-05,0,00:00,up,42,10.40,9.27,9.79,10.01,10.11,10.19,304.0
2026-02-05,1,04:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,2.0
2026-02-05,2,08:00,up,3,15.00,9.86,9.97,10.15,12.57,14.03,7.0
2026-02-05,3,12:00,up,2,0.80,0.71,0.72,0.75,0.78,0.79,6.0
2026-02-05,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,5.0
2026-02-05,5,20:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-02-06,0,00:00,down,11,0.04,0.01,0.01,0.01,0.01,0.01,61.0
2026-02-06,0,00:00,up,42,10.07,8.91,9.24,9.66,9.79,10.00,340.0
2026-02-06,1,04:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,3.0
2026-02-06,2,08:00,up,2,9.28,1.65,2.92,5.04,7.16,8.43,3.0
2026-02-06,3,12:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,6.0
2026-02-06,4,16:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,1.0
2026-02-06,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-02-07,0,00:00,down,9,0.02,0.01,0.01,0.01,0.01,0.02,59.0
2026-02-07,0,00:00,up,43,9.38,8.25,8.69,8.98,9.15,9.36,328.0
2026-02-08,0,00:00,down,9,0.08,0.01,0.01,0.01,0.01,0.03,63.0
2026-02-08,0,00:00,up,46,8.68,7.81,7.99,8.25,8.50,8.57,353.0
2026-02-08,1,04:00,up,3,4.91,1.46,2.44,4.08,4.50,4.74,6.0
2026-02-08,2,08:00,up,3,6.59,1.64,2.90,5.00,5.79,6.27,3.0
2026-02-08,3,12:00,up,2,0.80,0.71,0.72,0.75,0.78,0.79,4.0
2026-02-08,4,16:00,up,3,8.78,5.32,5.79,6.59,7.68,8.34,8.0
2026-02-08,5,20:00,up,2,3.00,2.25,2.38,2.58,2.79,2.92,8.0
2026-02-09,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,59.0
2026-02-09,0,00:00,up,41,10.30,7.99,8.45,8.71,8.87,9.18,303.0
2026-02-09,1,04:00,up,2,5.05,1.14,1.79,2.88,3.96,4.61,2.0
2026-02-09,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,2.0
2026-02-09,5,20:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-02-10,0,00:00,down,8,0.01,0.01,0.01,0.01,0.01,0.01,62.0
2026-02-10,0,00:00,up,49,82.30,8.34,8.74,8.91,9.35,13.21,360.0
2026-02-10,1,04:00,up,5,10.00,2.89,6.18,8.11,9.59,9.84,15.0
2026-02-10,2,08:00,up,5,26.00,3.32,7.25,10.03,15.00,21.60,14.0
2026-02-10,3,12:00,up,5,22.00,3.02,6.51,7.52,9.59,17.04,13.0
2026-02-10,4,16:00,up,5,23.96,3.42,7.49,10.03,18.00,21.58,18.0
2026-02-10,5,20:00,up,4,3.55,1.30,2.20,2.84,3.12,3.38,16.0
2026-02-11,0,00:00,down,8,0.01,0.01,0.01,0.01,0.01,0.01,63.0
2026-02-11,0,00:00,up,37,26.72,9.02,9.63,10.87,14.97,17.58,225.0
2026-02-11,2,08:00,up,3,39.77,7.95,9.38,11.76,25.77,34.17,6.0
2026-02-15,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,62.0
2026-02-15,0,00:00,up,39,9.17,8.28,8.33,8.72,8.96,9.01,349.0
2026-02-15,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,2.0
2026-02-15,2,08:00,up,1,4.50,4.50,4.50,4.50,4.50,4.50,1.0
2026-02-15,3,12:00,up,1,0.55,0.55,0.55,0.55,0.55,0.55,3.0
2026-02-15,4,16:00,up,1,8.41,8.41,8.41,8.41,8.41,8.41,17.0
2026-02-15,5,20:00,up,2,4.40,3.37,3.54,3.83,4.12,4.29,4.0
2026-02-16,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,66.0
2026-02-16,0,00:00,up,38,9.57,8.28,8.59,9.02,9.16,9.36,331.0
2026-02-16,1,04:00,up,3,5.93,1.58,2.91,5.11,5.52,5.77,5.0
2026-02-16,2,08:00,up,2,12.00,1.74,3.45,6.30,9.15,10.86,5.0
2026-02-16,3,12:00,up,2,0.60,0.56,0.56,0.57,0.59,0.59,5.0
2026-02-16,4,16:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,2.0
2026-02-16,5,20:00,up,3,3.26,1.04,1.69,2.79,3.02,3.17,5.0
2026-02-17,0,00:00,down,8,0.01,0.01,0.01,0.01,0.01,0.01,81.0
2026-02-17,0,00:00,up,36,9.25,8.28,8.86,8.98,9.12,9.20,293.0
2026-02-17,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,2.0
2026-02-17,2,08:00,up,1,7.00,7.00,7.00,7.00,7.00,7.00,1.0
2026-02-17,3,12:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
2026-02-17,4,16:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,2.0
2026-02-17,5,20:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
2026-02-18,0,00:00,down,7,0.01,0.01,0.01,0.01,0.01,0.01,63.0
2026-02-18,0,00:00,up,33,8.87,8.22,8.40,8.56,8.75,8.83,292.0
2026-02-18,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,3.0
2026-02-18,2,08:00,up,1,8.73,8.73,8.73,8.73,8.73,8.73,2.0
2026-02-18,3,12:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
2026-02-18,4,16:00,up,1,0.55,0.55,0.55,0.55,0.55,0.55,2.0
2026-02-18,5,20:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
2026-02-19,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,61.0
